product_id,product_name,category,brand,description,price
1,Nova Portable Bluetooth Speaker,Electronics,Nova,A Portable Bluetooth Speaker designed for everyday use with excellent build quality.,18891.29
2,Crest Ergonomic Handbag,Fashion,Crest,Top-rated Handbag offering Ergonomic performance and long-lasting durability.,757.91
3,Zenith Premium Shampoo,Beauty,Zenith,"This Premium Shampoo from Zenith combines style, comfort, and performance.",1544.94
4,Solace High-Performance Table Lamp,Home & Kitchen,Solace,"Experience the best Table Lamp in the Home & Kitchen category, built to be High-Performance.",5890.21
5,Urban Lightweight Skipping Rope,Sports & Fitness,Urban,A Lightweight Skipping Rope designed for everyday use with excellent build quality.,657.8
6,Nova Portable Tablet,Electronics,Nova,A Portable Tablet designed for everyday use with excellent build quality.,12637.46
7,Solace Lightweight Monitor,Electronics,Solace,A Lightweight Monitor designed for everyday use with excellent build quality.,28452.06
8,Nimbus Premium Blender,Home & Kitchen,Nimbus,A Premium Blender designed for everyday use with excellent build quality.,1858.62
9,Solace Modern Programming Guide,Books,Solace,Top-rated Programming Guide offering Modern performance and long-lasting durability.,998.53
10,Vertex Classic Business Book,Books,Vertex,A Classic Business Book designed for everyday use with excellent build quality.,1087.19
11,Solace Smart Sci-Fi Novel,Books,Solace,Top-rated Sci-Fi Novel offering Smart performance and long-lasting durability.,739.34
12,Orbit Premium Lipstick,Beauty,Orbit,"This Premium Lipstick from Orbit combines style, comfort, and performance.",2225.42
13,Aria Budget-Friendly Vacuum Cleaner,Home & Kitchen,Aria,"This Budget-Friendly Vacuum Cleaner from Aria combines style, comfort, and performance.",14813.79
14,Falcon Modern Badminton Racket,Sports & Fitness,Falcon,"Upgrade your lifestyle with this Modern Badminton Racket, a favorite in Sports & Fitness.",5123.31
15,Orbit Lightweight Sunglasses,Fashion,Orbit,"Upgrade your lifestyle with this Lightweight Sunglasses, a favorite in Fashion.",5468.92
16,Aria Budget-Friendly Tablet,Electronics,Aria,"This Budget-Friendly Tablet from Aria combines style, comfort, and performance.",19646.05
17,Solace Ergonomic Backpack,Fashion,Solace,Top-rated Backpack offering Ergonomic performance and long-lasting durability.,6313.5
18,Lumen Budget-Friendly Dumbbell Set,Sports & Fitness,Lumen,"Experience the best Dumbbell Set in the Sports & Fitness category, built to be Budget-Friendly.",4442.95
19,Crest Portable Self-Help Book,Books,Crest,Top-rated Self-Help Book offering Portable performance and long-lasting durability.,698.87
20,Lumen Classic Formal Shirt,Fashion,Lumen,"This Classic Formal Shirt from Lumen combines style, comfort, and performance.",1163.69
21,Kairo High-Performance Self-Help Book,Books,Kairo,A High-Performance Self-Help Book designed for everyday use with excellent build quality.,598.92
22,Zenith Professional Yoga Mat,Sports & Fitness,Zenith,Top-rated Yoga Mat offering Professional performance and long-lasting durability.,8132.17
23,Zenith Ergonomic Badminton Racket,Sports & Fitness,Zenith,"Upgrade your lifestyle with this Ergonomic Badminton Racket, a favorite in Sports & Fitness.",3218.52
24,Vertex Ergonomic Running Shoes,Fashion,Vertex,A Ergonomic Running Shoes designed for everyday use with excellent build quality.,5056.59
25,Crest Eco-Friendly Smartwatch,Electronics,Crest,Top-rated Smartwatch offering Eco-Friendly performance and long-lasting durability.,43068.21
26,Everest Wireless Nail Polish Set,Beauty,Everest,A Wireless Nail Polish Set designed for everyday use with excellent build quality.,1609.47
27,Vertex High-Performance Air Fryer,Home & Kitchen,Vertex,"This High-Performance Air Fryer from Vertex combines style, comfort, and performance.",6319.22
28,Vertex Smart Bluetooth Speaker,Electronics,Vertex,"Upgrade your lifestyle with this Smart Bluetooth Speaker, a favorite in Electronics.",27052.81
29,Falcon Eco-Friendly Gym Bag,Sports & Fitness,Falcon,"This Eco-Friendly Gym Bag from Falcon combines style, comfort, and performance.",799.34
30,Crest Budget-Friendly Nail Polish Set,Beauty,Crest,A Budget-Friendly Nail Polish Set designed for everyday use with excellent build quality.,795.51
31,Urban Portable Fantasy Novel,Books,Urban,Top-rated Fantasy Novel offering Portable performance and long-lasting durability.,230.83
32,Kairo Premium Formal Shirt,Fashion,Kairo,A Premium Formal Shirt designed for everyday use with excellent build quality.,7414.06
33,Everest Wireless Resistance Bands,Sports & Fitness,Everest,Top-rated Resistance Bands offering Wireless performance and long-lasting durability.,9635.74
34,Crest Compact Cricket Bat,Sports & Fitness,Crest,"Upgrade your lifestyle with this Compact Cricket Bat, a favorite in Sports & Fitness.",8234.74
35,Orbit Modern Blender,Home & Kitchen,Orbit,"Upgrade your lifestyle with this Modern Blender, a favorite in Home & Kitchen.",2801.12
36,Pulse Ergonomic Router,Electronics,Pulse,"This Ergonomic Router from Pulse combines style, comfort, and performance.",4694.12
37,Pulse Premium Business Book,Books,Pulse,"Upgrade your lifestyle with this Premium Business Book, a favorite in Books.",345.9
38,Aria Modern Coffee Maker,Home & Kitchen,Aria,"Experience the best Coffee Maker in the Home & Kitchen category, built to be Modern.",8506.28
39,Zenith Professional Blender,Home & Kitchen,Zenith,"This Professional Blender from Zenith combines style, comfort, and performance.",12191.2
40,Falcon Ergonomic Running Shoes,Fashion,Falcon,"Experience the best Running Shoes in the Fashion category, built to be Ergonomic.",1778.93
41,Vertex Portable Camera,Electronics,Vertex,"This Portable Camera from Vertex combines style, comfort, and performance.",50281.67
42,Pulse Ergonomic Sneakers,Fashion,Pulse,Top-rated Sneakers offering Ergonomic performance and long-lasting durability.,4213.83
43,Nova Professional Dumbbell Set,Sports & Fitness,Nova,A Professional Dumbbell Set designed for everyday use with excellent build quality.,2510.97
44,Solace Budget-Friendly Cookbook,Books,Solace,A Budget-Friendly Cookbook designed for everyday use with excellent build quality.,183.0
45,Crest Wireless Lipstick,Beauty,Crest,A Wireless Lipstick designed for everyday use with excellent build quality.,1952.07
46,Pulse Lightweight Treadmill,Sports & Fitness,Pulse,Top-rated Treadmill offering Lightweight performance and long-lasting durability.,1462.69
47,Lumen Smart Mystery Novel,Books,Lumen,"Experience the best Mystery Novel in the Books category, built to be Smart.",275.57
48,Solace Durable T-Shirt,Fashion,Solace,Top-rated T-Shirt offering Durable performance and long-lasting durability.,5631.75
49,Crest Premium Face Wash,Beauty,Crest,"Experience the best Face Wash in the Beauty category, built to be Premium.",1834.04
50,Lumen High-Performance Poetry Collection,Books,Lumen,Top-rated Poetry Collection offering High-Performance performance and long-lasting durability.,1065.03
51,Solace Ergonomic Nail Polish Set,Beauty,Solace,"Experience the best Nail Polish Set in the Beauty category, built to be Ergonomic.",197.28
52,Orbit High-Performance Perfume,Beauty,Orbit,Top-rated Perfume offering High-Performance performance and long-lasting durability.,2065.59
